Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
90,Halsoor,Yes,"Assembly elections 2013, Parliament elections 2014",Roshan Baig,Garbage black spots, Bad roads with potholes, Unwalkable footpaths,,,,,,,2,1 - Low Importance,2,1 - Low Importance,3,3,1 - Low Importance,3,4,1 - Low Importance,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,3 - Average,1- Very Poor,3 - Average,3 - Average,1- Very Poor,Low,Low,Low,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,,Nandan Nilekani,BJP candidate,BJP,51- 60,Graduate diploma/degree,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Hindi, English,,,,,
182,Padmanabhanagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, haphazard parking, unmitigated littering by hotels/cafes,,,3,2,2,2,3,3,1 - Low Importance,2,3,1 - Low Importance,4 - Good,4 - Good,3 - Average,2 - Poor,4 - Good,2 - Poor,2 - Poor,3 - Average,3 - Average,3 - Average,Low,Low,Medium,Can't say,,Can't say,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,"Based on above traits, I'd choose Nandan Nilakeni, working closely with urban planning experts like Ashwin Mahesh.",Party doesn't matter; candidate does,"Congress, BJP",25-30,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, English,,,,
86,Marathhalli,No - other reasons,Parliament elections 2014,Varalakshmi,No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds,,,,5 - High Importance,3,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,3,4,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,2 - Poor,2 - Poor,Zero,Zero,Can't say,Can't say,,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,nandan nilekeni,Party doesn't matter; candidate does,none,41-50,Post graduate,IT/ITES,"Above Rs 2,00,000",Male,Hindi, English,,,,,
91,Bharathi Nagar,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,2,2,1 - Low Importance,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,S.M. Krishna,Party doesn't matter; candidate does,,41-50,Graduate diploma/degree,Homemaker,"Above Rs 2,00,000",Female,Kannada, Hindi, English,,,,
83,Kadugodi,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",,Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of parks and playgrounds,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,5 - High Importance,3,4,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,5 - Very Good,1- Very Poor,4 - Good,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Corruption and scams of the party elsewhere in India,,,,Mohandas Pai,Party doesn't matter; candidate does,BJP,31-40,Post graduate,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
150,Bellandur,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",J Varalakshmi,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land,,,,4,3,2,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,2,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,2 - Poor,3 - Average,2 - Poor,Zero,Zero,Can't say,Can't say,,No,Candidate's individual capabilities, Past work record of candidate,,,,,,Party doesn't matter; candidate does,"Loksatta, Aam Aadmi Party",41-50,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
81,Vignana Nagar,No - I was not on the voters list,,,Garbage black spots, Bad roads with potholes,,,,,,,,3,3,Not applicable,5 - High Importance,3,3,5 - High Importance,Not applicable,Not applicable,4,Not applicable,3 - Average,Not applicable,2 - Poor,3 - Average,Not applicable,1- Very Poor,Not applicable,Not applicable,Not applicable,Can't say,Can't say,Can't say,Can't say,,No,Past work record of candidate, Clean image of candidate,,,,,,Party doesn't matter; candidate does,,25-30,Post graduate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Female,Hindi, English,,,,,
26,Ramamurthy nagar,No - I was not on the voters list,Parliament elections 2014,,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,AAP candidate,"Loksatta, Aam Aadmi Party",31-40,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Tamil, Telugu, English,,,,
3,Attur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",mrs.geetha shashikumar,Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,5 - High Importance,1 - Low Importance,5 - High Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,5 - Very Good,1- Very Poor,5 - Very Good,1- Very Poor,1- Very Poor,1- Very Poor,Very high,Very high,Very high,Zero,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm,,,shri.vishwanath,BJP candidate,BJP,41-50,Graduate diploma/degree,Public sector Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Telugu, Urdu, Hindi, English,
170,Jayanagar East,No - other reasons,"Assembly elections 2013, Parliament elections 2014",Muni Sanjeevaiah,Garbage black spots, Unwalkable footpaths,,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,3,2,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,2 - Poor,3 - Average,1- Very Poor,3 - Average,3 - Average,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Low,Can't say,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,,Loksatta candidate,"Loksatta, Aam Aadmi Party",31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English,,,,
28,Kammanahalli,No - I was not on the voters list,I did not vote in any election,,Garbage black spots, Non-collection of garbage from your home,,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,5 - High Importance,1 - Low Importance,1 - Low Importance,5 - High Importance,1 - Low Importance,1 - Low Importance,3 - Average,4 - Good,3 - Average,3 - Average,5 - Very Good,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,Low,Low,Low,Low,Yes,No,Past work record of candidate,,,,,,,Party doesn't matter; candidate does,BJP,60+,Post graduate,Professional (Medical/Law/CA),"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Telugu, English,,,
84,Hagaduru,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",H.A. Srinivas,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Encroachment of public land,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,4,4,5 - High Importance,3,2,1 - Low Importance,1 - Low Importance,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,4 - Good,2 - Poor,1- Very Poor,3 - Average,2 - Poor,Medium,Medium,Low,High,No,No,Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,,,,None of the current crop,AAP candidate,Aam Aadmi Party,51- 60,Post graduate,Business/self employed,"Above Rs 2,00,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
150,Bellandur,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",Babu Reddy,Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land, Encroachment of lake,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Low,High,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate, Candidate's personality/ charm,,,,Party doesn't matter; candidate does,,41-50,Post graduate,Government Employee,"Above Rs 2,00,000",Female,Kannada, Tamil, Telugu, Urdu, Hindi,,
133,Hampi Nagar,No - I was not interested,"Assembly elections 2013, Parliament elections 2014",Chandrasekhar,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of government schooling, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,Not applicable,1 - Low Importance,3,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,4 - Good,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Low,Low,Zero,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,AAP candidate,Aam Aadmi Party,41-50,Graduate diploma/degree,Business/self employed,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English,,,,
184,Uttarahalli,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",Ramesh ,Garbage black spots, No street lights, Lack of public toilets,,,,,,,5 - High Importance,4,5 - High Importance,4,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,3 - Average,3 - Average,2 - Poor,2 - Poor,3 - Average,3 - Average,4 - Good,3 - Average,2 - Poor,3 - Average,Medium,Medium,Medium,Low,Yes,if i feel there is more deserving candidate than the exsisting i wpuld vote for that candidate ,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,a subject specified knowledgeable person who can handle the major issues ,Party doesn't matter; candidate does,,21-25,Graduate diploma/degree,Student,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Hindi, English,,,,
52,K.R.Puram,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds,,,,1 - Low Importance,1 - Low Importance,4,1 - Low Importance,4,1 - Low Importance,1 - Low Importance,4,4,1 - Low Importance,1- Very Poor,1- Very Poor,4 - Good,1- Very Poor,4 - Good,1- Very Poor,1- Very Poor,4 - Good,4 - Good,1- Very Poor,High,High,Medium,High,Yes,No,Candidate's individual capabilities, Clean image of candidate,,,,,,Loksatta candidate,Congress,25-30,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Telugu, Hindi, English,,,,
150,Bellandur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,,,1 - Low Importance,1 - Low Importance,3,3,4,3,5 - High Importance,2,2,2,3 - Average,2 - Poor,3 - Average,1- Very Poor,2 - Poor,1- Very Poor,3 - Average,1- Very Poor,2 - Poor,1- Very Poor,Zero,Zero,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Party doesn't matter; candidate does,Loksatta,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
169,Byrasandra,No - I was not on the voters list,Parliament elections 2014,shanthala,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Encroachment of public land,,,,,,2,2,3,3,3,3,1 - Low Importance,2,2,2,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,Low,Low,Low,Low,No,No,Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,,,,no one,AAP candidate,Aam Aadmi Party,21-25,Graduate diploma/degree,Private Firm Employee,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Urdu, Malayalam, Hindi, English
107,Shiva Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Manjunath,Garbage black spots, Bad roads with potholes, Lack of public toilets, Encroachment of public land, Improper traffic management in junctions, Hapazzard and Uncontrolled parking by Auto rickshaws and taxi cabs on busy roads, Over speed vehicles, honking with high sounds,,2,3,1 - Low Importance,3,4,4,3,3,4,4,4 - Good,3 - Average,2 - Poor,3 - Average,4 - Good,4 - Good,3 - Average,3 - Average,4 - Good,3 - Average,Medium,High,High,Low,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Easily reachable, Effective, dare to enforce law,"Clean hand, Easily reachable, speaker and listener, Effective, dare to enforce law",Party doesn't matter; candidate does,No one till now!,41-50,Graduate diploma/degree,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Telugu, Hindi, English,,,
101,Kamakshipalya,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",K.Ranganna,Garbage black spots,,,,,,,,,4,4,4,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,5 - High Importance,4 - Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,High,High,Very high,Can't say,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,,Suresh kumar & BN Vijaykumar,Party doesn't matter; candidate does,BJP,21-25,Post graduate,IT/ITES,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
85,Doddanekundi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Sridhar Reddy,Garbage black spots, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,,,3,2,1 - Low Importance,3,4,2,3,1 - Low Importance,3,3,4 - Good,2 - Poor,1- Very Poor,3 - Average,4 - Good,2 - Poor,3 - Average,1- Very Poor,3 - Average,3 - Average,High,High,Medium,Can't say,No,No,Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,,Nandan,Party doesn't matter; candidate does,None,41-50,Post graduate,IT/ITES,"Above Rs 2,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
89,Jogupalya,No - I did not like the candidates,Parliament elections 2014,M Gautam Kumar apparently,Garbage black spots, Lack of public toilets, Frequent digging by govt. and private agencies, frequent electrical disruptions.  ,,,,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Can't say,Can't say,Can't say,Can't say,,Haven't seen or heard from any corporators in my ward. If they exist they are invisible. ,Candidate's individual capabilities, Clean image of candidate, Corruption and scams of the party elsewhere in India, In the last 15 years I have not seen or heard much of any corporators in my ward. Most of them are poor communicators or communicate only to their core vote banks. ,,,Yet to be born.,Party doesn't matter; candidate does,"BJP, Loksatta, Aam Aadmi Party, Would like to see an AAP-Loksatta combine as first choice followed by BJP.",31-40,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Hindi, English,,,
82,Garudachar Palya,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Pillappa,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Lack of public toilets, Lack of parks and playgrounds,,,,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,3,1 - Low Importance,3,1 - Low Importance,3,1 - Low Importance,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,3 - Average,1- Very Poor,3 - Average,1- Very Poor,Low,Low,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises,,,,Did not find one yet,Party doesn't matter; candidate does,BJP,25-30,Doctorate,Private Firm Employee,"Above Rs 2,00,000",Male,Telugu, Hindi, English,,,,
9,Vidyaranyapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Nandini Srinivasa,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of government schooling, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,4,3,3,3,2,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Low,Zero,No,Maybe,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,Suresh Kumar,Loksatta candidate,Loksatta,31-40,Post graduate,Business/self employed,"Above Rs 2,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
